Arquivo,Dice Coefficient,Jaccard Index
lola11-01, 0.8715, 0.7722
lola11-02, 0.7478, 0.5972
lola11-03, 0.7991, 0.6654
lola11-04, 0.8583, 0.7517
lola11-05, 0.8107, 0.6817
lola11-06, 0.8620, 0.7575
lola11-07, 0.7693, 0.6250
lola11-08, 0.8825, 0.7897
lola11-09, 0.8726, 0.7741
lola11-10, 0.7640, 0.6181
lola11-11, 0.8569, 0.7497
lola11-12, 0.8569, 0.7496
lola11-13, 0.9193, 0.8506
lola11-14, 0.8831, 0.7907
lola11-15, 0.8966, 0.8125
lola11-16, 0.8829, 0.7903
lola11-17, 0.8893, 0.8007
lola11-18, 0.9113, 0.8371
lola11-19, 0.8622, 0.7578
lola11-20, 0.6686, 0.5021
lola11-21, 0.6887, 0.5252
lola11-22, 0.8883, 0.7991
lola11-23, 0.8903, 0.8022
lola11-24, 0.8507, 0.7403
lola11-25, 0.8472, 0.7350
lola11-26, 0.8516, 0.7416
lola11-27, 0.8195, 0.6942
lola11-28, 0.8548, 0.7465
lola11-29, 0.8109, 0.6820
lola11-30, 0.8762, 0.7797
lola11-31, 0.7827, 0.6430
lola11-32, 0.8697, 0.7694
lola11-33, 0.7709, 0.6273
lola11-34, 0.8616, 0.7568
lola11-35, 0.8156, 0.6887
lola11-36, 0.9848, 0.9700
lola11-37, 0.8460, 0.7332
lola11-38, 0.8471, 0.7347
lola11-39, 0.8365, 0.7189
lola11-40, 0.8625, 0.7582
lola11-41, 0.8642, 0.7608
lola11-42, 0.9071, 0.8300
lola11-43, 0.7501, 0.6001
lola11-44, 0.6528, 0.4846
lola11-45, 0.6487, 0.4800
lola11-46, 0.8606, 0.7553
lola11-47, 0.8530, 0.7437
lola11-48, 0.6884, 0.5248
lola11-49, 0.8826, 0.7899
lola11-50, 0.6836, 0.5192
lola11-51, 0.7388, 0.5858
lola11-52, 0.6109, 0.4398
lola11-53, 0.8433, 0.7290
lola11-54, 0.8198, 0.6946
lola11-55, 0.8886, 0.7995
