,group1,group2,meandiff,p-adj,lower,upper,reject
0,efficientNetB0,efficientNetB1,-5.36,0.0,-5.7002,-5.0198,True
1,efficientNetB0,efficientNetV2B0,2.68,0.0,2.3398,3.0202,True
2,efficientNetB0,inceptionResNetV2,-12.5,0.0,-12.8402,-12.1598,True
3,efficientNetB0,inceptionv3,4.46,0.0,4.1198,4.8002,True
4,efficientNetB0,mobilenet,4.46,0.0,4.1198,4.8002,True
5,efficientNetB0,resNetRS101,2.68,0.0,2.3398,3.0202,True
6,efficientNetB0,resNetRS200,1.78,0.0,1.4398,2.1202,True
7,efficientNetB0,restnasnetmobile,-1.79,0.0,-2.1302,-1.4498,True
8,efficientNetB0,restnet50,2.68,0.0,2.3398,3.0202,True
9,efficientNetB0,vgg16,2.68,0.0,2.3398,3.0202,True
10,efficientNetB0,vgg19,1.78,0.0,1.4398,2.1202,True
11,efficientNetB0,xception,-1.79,0.0,-2.1302,-1.4498,True
12,efficientNetB1,efficientNetV2B0,8.04,0.0,7.6998,8.3802,True
13,efficientNetB1,inceptionResNetV2,-7.14,0.0,-7.4802,-6.7998,True
14,efficientNetB1,inceptionv3,9.82,0.0,9.4798,10.1602,True
15,efficientNetB1,mobilenet,9.82,0.0,9.4798,10.1602,True
16,efficientNetB1,resNetRS101,8.04,0.0,7.6998,8.3802,True
17,efficientNetB1,resNetRS200,7.14,0.0,6.7998,7.4802,True
18,efficientNetB1,restnasnetmobile,3.57,0.0,3.2298,3.9102,True
19,efficientNetB1,restnet50,8.04,0.0,7.6998,8.3802,True
20,efficientNetB1,vgg16,8.04,0.0,7.6998,8.3802,True
21,efficientNetB1,vgg19,7.14,0.0,6.7998,7.4802,True
22,efficientNetB1,xception,3.57,0.0,3.2298,3.9102,True
23,efficientNetV2B0,inceptionResNetV2,-15.18,0.0,-15.5202,-14.8398,True
24,efficientNetV2B0,inceptionv3,1.78,0.0,1.4398,2.1202,True
25,efficientNetV2B0,mobilenet,1.78,0.0,1.4398,2.1202,True
26,efficientNetV2B0,resNetRS101,0.0,1.0,-0.3402,0.3402,False
27,efficientNetV2B0,resNetRS200,-0.9,0.0,-1.2402,-0.5598,True
28,efficientNetV2B0,restnasnetmobile,-4.47,0.0,-4.8102,-4.1298,True
29,efficientNetV2B0,restnet50,0.0,1.0,-0.3402,0.3402,False
30,efficientNetV2B0,vgg16,0.0,1.0,-0.3402,0.3402,False
31,efficientNetV2B0,vgg19,-0.9,0.0,-1.2402,-0.5598,True
32,efficientNetV2B0,xception,-4.47,0.0,-4.8102,-4.1298,True
33,inceptionResNetV2,inceptionv3,16.96,0.0,16.6198,17.3002,True
34,inceptionResNetV2,mobilenet,16.96,0.0,16.6198,17.3002,True
35,inceptionResNetV2,resNetRS101,15.18,0.0,14.8398,15.5202,True
36,inceptionResNetV2,resNetRS200,14.28,0.0,13.9398,14.6202,True
37,inceptionResNetV2,restnasnetmobile,10.71,0.0,10.3698,11.0502,True
38,inceptionResNetV2,restnet50,15.18,0.0,14.8398,15.5202,True
39,inceptionResNetV2,vgg16,15.18,0.0,14.8398,15.5202,True
40,inceptionResNetV2,vgg19,14.28,0.0,13.9398,14.6202,True
41,inceptionResNetV2,xception,10.71,0.0,10.3698,11.0502,True
42,inceptionv3,mobilenet,0.0,1.0,-0.3402,0.3402,False
43,inceptionv3,resNetRS101,-1.78,0.0,-2.1202,-1.4398,True
44,inceptionv3,resNetRS200,-2.68,0.0,-3.0202,-2.3398,True
45,inceptionv3,restnasnetmobile,-6.25,0.0,-6.5902,-5.9098,True
46,inceptionv3,restnet50,-1.78,0.0,-2.1202,-1.4398,True
47,inceptionv3,vgg16,-1.78,0.0,-2.1202,-1.4398,True
48,inceptionv3,vgg19,-2.68,0.0,-3.0202,-2.3398,True
49,inceptionv3,xception,-6.25,0.0,-6.5902,-5.9098,True
50,mobilenet,resNetRS101,-1.78,0.0,-2.1202,-1.4398,True
51,mobilenet,resNetRS200,-2.68,0.0,-3.0202,-2.3398,True
52,mobilenet,restnasnetmobile,-6.25,0.0,-6.5902,-5.9098,True
53,mobilenet,restnet50,-1.78,0.0,-2.1202,-1.4398,True
54,mobilenet,vgg16,-1.78,0.0,-2.1202,-1.4398,True
55,mobilenet,vgg19,-2.68,0.0,-3.0202,-2.3398,True
56,mobilenet,xception,-6.25,0.0,-6.5902,-5.9098,True
57,resNetRS101,resNetRS200,-0.9,0.0,-1.2402,-0.5598,True
58,resNetRS101,restnasnetmobile,-4.47,0.0,-4.8102,-4.1298,True
59,resNetRS101,restnet50,0.0,1.0,-0.3402,0.3402,False
60,resNetRS101,vgg16,0.0,1.0,-0.3402,0.3402,False
61,resNetRS101,vgg19,-0.9,0.0,-1.2402,-0.5598,True
62,resNetRS101,xception,-4.47,0.0,-4.8102,-4.1298,True
63,resNetRS200,restnasnetmobile,-3.57,0.0,-3.9102,-3.2298,True
64,resNetRS200,restnet50,0.9,0.0,0.5598,1.2402,True
65,resNetRS200,vgg16,0.9,0.0,0.5598,1.2402,True
66,resNetRS200,vgg19,0.0,1.0,-0.3402,0.3402,False
67,resNetRS200,xception,-3.57,0.0,-3.9102,-3.2298,True
68,restnasnetmobile,restnet50,4.47,0.0,4.1298,4.8102,True
69,restnasnetmobile,vgg16,4.47,0.0,4.1298,4.8102,True
70,restnasnetmobile,vgg19,3.57,0.0,3.2298,3.9102,True
71,restnasnetmobile,xception,0.0,1.0,-0.3402,0.3402,False
72,restnet50,vgg16,-0.0,1.0,-0.3402,0.3402,False
73,restnet50,vgg19,-0.9,0.0,-1.2402,-0.5598,True
74,restnet50,xception,-4.47,0.0,-4.8102,-4.1298,True
75,vgg16,vgg19,-0.9,0.0,-1.2402,-0.5598,True
76,vgg16,xception,-4.47,0.0,-4.8102,-4.1298,True
77,vgg19,xception,-3.57,0.0,-3.9102,-3.2298,True
